0,1,2,3,4,5,6,7,8,9
0.604,0.873,0.173,0.62,0.632,0.517,0.419,0.526,0.594,0.42
0.499,0.925,0.201,0.599,0.612,0.46,0.302,0.479,0.514,0.0
0.417,0.017,0.131,0.001,0.0,0.142,0.539,0.679,0.688,0.0
0.605,0.686,0.236,0.517,0.078,0.204,0.388,0.043,0.278,0.001
0.126,0.487,0.454,0.01,0.276,0.419,0.533,0.501,0.633,0.0
0.641,0.664,0.296,0.389,0.314,0.321,0.516,0.494,0.287,0.0
0.359,0.625,0.433,0.177,0.382,0.477,0.575,0.428,0.621,0.0
0.359,0.625,0.433,0.177,0.382,0.477,0.575,0.428,0.621,0.0
0.359,0.625,0.433,0.177,0.382,0.477,0.575,0.428,0.621,0.0
