0,1,2,3,4,5,6,7,8,9
0.604,0.873,0.173,0.62,0.632,0.517,0.419,0.526,0.594,0.42
0.499,0.925,0.201,0.599,0.612,0.46,0.302,0.479,0.514,0.0
0.623,0.705,0.544,0.303,0.234,0.569,0.772,0.583,0.728,0.0
0.641,0.797,0.296,0.475,0.523,0.527,0.604,0.674,0.731,0.0
0.646,0.792,0.462,0.5,0.375,0.479,0.686,0.605,0.744,0.001
0.646,0.79,0.405,0.456,0.459,0.53,0.659,0.627,0.732,0.001
0.635,0.782,0.436,0.472,0.418,0.509,0.672,0.604,0.753,0.001
0.635,0.782,0.436,0.472,0.418,0.509,0.672,0.604,0.753,0.001
0.635,0.782,0.436,0.472,0.418,0.509,0.672,0.604,0.753,0.001
