0.002,0.497,0.212,0.12,0.675,0.0,0.0,0.187,0.067,0.0
0.0,0.342,0.229,0.012,0.871,0.0,0.0,0.04,0.0,0.0
0.002,0.435,0.136,0.162,0.883,0.007,0.009,0.012,0.028,0.0
0.002,0.472,0.153,0.083,0.902,0.0,0.001,0.08,0.02,0.0
0.008,0.518,0.104,0.195,0.902,0.001,0.013,0.05,0.104,0.0
0.006,0.528,0.081,0.102,0.909,0.0,0.004,0.119,0.133,0.0
0.007,0.533,0.083,0.119,0.904,0.0,0.008,0.093,0.159,0.004
0.01,0.515,0.127,0.126,0.899,0.001,0.01,0.034,0.212,0.0
0.012,0.517,0.097,0.098,0.921,0.0,0.007,0.042,0.198,0.0
0.017,0.501,0.077,0.143,0.936,0.002,0.015,0.051,0.231,0.0
0.021,0.5,0.071,0.17,0.936,0.003,0.028,0.062,0.224,0.0
0.029,0.497,0.081,0.184,0.934,0.005,0.036,0.07,0.249,0.0
0.027,0.5,0.068,0.165,0.946,0.006,0.031,0.066,0.233,0.0
0.041,0.498,0.092,0.17,0.939,0.006,0.033,0.085,0.277,0.0
0.044,0.505,0.105,0.178,0.931,0.011,0.049,0.088,0.304,0.0
0.06,0.522,0.12,0.167,0.925,0.011,0.05,0.107,0.336,0.0
0.061,0.532,0.125,0.169,0.924,0.013,0.048,0.107,0.329,0.0
0.087,0.551,0.154,0.168,0.918,0.022,0.063,0.134,0.365,0.0
0.093,0.554,0.141,0.169,0.921,0.027,0.063,0.125,0.357,0.0
0.128,0.575,0.189,0.196,0.894,0.055,0.107,0.158,0.431,0.0
