0.099,0.015,0.0,0.077,0.113,0.781,0.0,0.312,0.324,0.0
0.192,0.002,0.0,0.052,0.027,0.722,0.0,0.452,0.47,0.0
0.24,0.235,0.005,0.099,0.108,0.696,0.004,0.623,0.474,0.0
0.424,0.192,0.0,0.083,0.204,0.542,0.004,0.582,0.503,0.0
0.159,0.135,0.0,0.032,0.095,0.791,0.0,0.571,0.127,0.0
0.178,0.115,0.0,0.042,0.079,0.816,0.0,0.498,0.222,0.0
0.344,0.236,0.001,0.062,0.172,0.802,0.01,0.519,0.4,0.0
0.374,0.247,0.004,0.035,0.174,0.81,0.007,0.466,0.455,0.0
0.234,0.349,0.002,0.042,0.028,0.891,0.007,0.458,0.498,0.0
0.183,0.348,0.005,0.039,0.032,0.897,0.008,0.454,0.488,0.0
0.172,0.349,0.003,0.025,0.011,0.939,0.012,0.381,0.442,0.0
0.237,0.373,0.003,0.037,0.017,0.927,0.012,0.39,0.49,0.0
0.345,0.416,0.006,0.063,0.026,0.91,0.025,0.379,0.548,0.0
0.326,0.461,0.018,0.1,0.056,0.806,0.067,0.632,0.618,0.0
0.426,0.518,0.025,0.135,0.163,0.805,0.141,0.624,0.631,0.0
0.459,0.531,0.033,0.148,0.174,0.763,0.161,0.65,0.652,0.0
0.493,0.534,0.035,0.174,0.211,0.771,0.178,0.613,0.648,0.0
0.503,0.554,0.04,0.178,0.227,0.773,0.192,0.598,0.656,0.0
0.53,0.548,0.045,0.192,0.234,0.772,0.201,0.586,0.639,0.0
0.531,0.566,0.051,0.195,0.242,0.79,0.222,0.559,0.648,0.0
