0.001,0.019,0.687,0.027,0.021,0.036,0.069,0.005,0.889,0.003
0.004,0.427,0.094,0.345,0.415,0.104,0.085,0.056,0.847,0.0
0.048,0.342,0.798,0.238,0.16,0.058,0.071,0.009,0.795,0.0
0.075,0.498,0.681,0.202,0.565,0.03,0.165,0.089,0.084,0.001
0.024,0.387,0.478,0.242,0.492,0.1,0.169,0.063,0.884,0.0
0.049,0.423,0.753,0.246,0.32,0.08,0.183,0.178,0.841,0.001
0.029,0.425,0.775,0.225,0.281,0.065,0.174,0.198,0.855,0.0
0.075,0.482,0.771,0.295,0.34,0.068,0.216,0.229,0.83,0.001
0.052,0.461,0.755,0.267,0.359,0.065,0.235,0.241,0.843,0.0
0.082,0.52,0.742,0.316,0.371,0.076,0.292,0.276,0.835,0.0
0.064,0.511,0.741,0.31,0.379,0.078,0.297,0.28,0.841,0.0
0.083,0.54,0.741,0.323,0.382,0.082,0.327,0.296,0.837,0.0
0.079,0.541,0.746,0.326,0.375,0.093,0.342,0.319,0.836,0.0
0.088,0.556,0.741,0.33,0.375,0.107,0.359,0.334,0.839,0.0
0.089,0.559,0.746,0.33,0.376,0.112,0.369,0.346,0.841,0.0
0.093,0.563,0.74,0.336,0.372,0.123,0.388,0.361,0.846,0.0
0.095,0.572,0.741,0.332,0.386,0.136,0.408,0.375,0.848,0.0
0.098,0.565,0.741,0.333,0.382,0.138,0.412,0.38,0.854,0.0
0.106,0.579,0.733,0.336,0.384,0.162,0.424,0.385,0.852,0.0
0.117,0.557,0.731,0.34,0.385,0.157,0.422,0.391,0.859,0.0
