0.031,0.283,0.166,0.063,0.0,0.001,0.05,0.959,0.222,0.0
0.022,0.173,0.392,0.104,0.015,0.005,0.18,0.817,0.196,0.0
0.115,0.339,0.558,0.13,0.053,0.032,0.169,0.637,0.928,0.0
0.102,0.484,0.401,0.146,0.019,0.023,0.162,0.867,0.692,0.0
0.202,0.572,0.329,0.155,0.042,0.079,0.213,0.922,0.812,0.0
0.228,0.571,0.481,0.225,0.064,0.091,0.312,0.831,0.742,0.001
0.248,0.601,0.373,0.196,0.074,0.127,0.316,0.892,0.814,0.0
0.257,0.598,0.377,0.219,0.077,0.122,0.353,0.895,0.814,0.0
0.277,0.615,0.439,0.226,0.076,0.141,0.378,0.866,0.82,0.0
0.279,0.618,0.434,0.233,0.077,0.148,0.397,0.861,0.816,0.0
0.29,0.621,0.455,0.243,0.086,0.152,0.424,0.859,0.814,0.0
0.297,0.628,0.453,0.242,0.096,0.164,0.434,0.853,0.817,0.0
0.305,0.628,0.46,0.248,0.099,0.168,0.454,0.846,0.818,0.0
0.319,0.632,0.444,0.255,0.104,0.178,0.455,0.85,0.821,0.0
0.328,0.636,0.446,0.259,0.111,0.191,0.473,0.851,0.825,0.0
0.34,0.637,0.446,0.26,0.113,0.204,0.477,0.852,0.824,0.0
0.348,0.642,0.44,0.262,0.117,0.214,0.489,0.853,0.824,0.0
0.36,0.644,0.427,0.27,0.12,0.221,0.487,0.852,0.824,0.0
0.367,0.646,0.42,0.276,0.126,0.223,0.505,0.85,0.823,0.0
0.38,0.655,0.411,0.285,0.127,0.232,0.506,0.847,0.824,0.0
